appid,discount_start,playtime_filter,positive_count_before,negative_count_before,positive_count_during,negative_count_during,before_days,during_days,response_rate_positive,response_rate_negative,positive_rate_before,positive_rate_during,positive_rate_delta,sentiment_group
1172620,2026-02-09,10h,1003,254,185,33,30,7,-0.209514,-0.443195,0.797932,0.848624,0.050692,up
1172620,2026-03-19,10h,872,237,187,59,30,7,-0.080931,0.066908,0.786294,0.760163,-0.026131,down
275850,2025-12-18,10h,10007,170,1678,137,30,18,-0.720529,0.343137,0.983296,0.924518,-0.058778,down
275850,2026-02-09,10h,1607,123,1705,168,30,14,1.273535,1.926829,0.928902,0.910304,-0.018597,down
275850,2026-03-19,10h,2276,217,407,33,30,7,-0.233618,-0.348255,0.912956,0.925,0.012044,up
814380,2025-09-22,10h,2170,90,994,35,30,14,-0.018433,-0.166667,0.960177,0.965986,0.005809,up
814380,2025-11-19,10h,1626,64,1004,36,30,14,0.323142,0.205357,0.96213,0.965385,0.003254,neutral
814380,2025-12-18,10h,1984,74,1404,57,30,18,0.179435,0.283784,0.964043,0.960986,-0.003057,neutral
814380,2026-03-19,10h,1340,42,413,21,30,7,0.320896,1.142857,0.969609,0.951613,-0.017996,down
990080,2025-12-18,10h,5853,553,2726,363,30,18,-0.22376,0.094033,0.913675,0.882486,-0.031188,down
990080,2026-02-05,10h,2580,357,508,66,30,7,-0.156146,-0.207683,0.878447,0.885017,0.00657,up
990080,2026-03-14,10h,1817,239,757,118,30,12,0.041552,0.23431,0.883755,0.865143,-0.018612,down
264710,2026-03-19,10h,2337,32,682,9,30,7,0.250688,0.205357,0.986492,0.986975,0.000483,neutral
1517290,2026-03-12,10h,255,100,249,105,30,14,1.092437,1.25,0.71831,0.70339,-0.01492,down
632360,2025-12-18,10h,9656,288,1638,69,30,18,-0.717274,-0.600694,0.971038,0.959578,-0.01146,down
632360,2026-02-05,10h,1698,100,887,37,30,14,0.119384,-0.207143,0.944383,0.959957,0.015574,up
632360,2026-03-19,10h,1406,66,364,18,30,7,0.109531,0.168831,0.955163,0.95288,-0.002283,neutral
1118200,2025-12-18,10h,1918,41,2034,41,30,18,0.767466,0.666667,0.979071,0.980241,0.00117,neutral
1145360,2025-09-17,10h,861,22,581,17,30,8,1.530488,1.897727,0.975085,0.971572,-0.003513,neutral
1145360,2025-09-29,10h,1584,47,799,40,30,7,1.161797,2.647416,0.971183,0.952324,-0.018859,down
1145360,2025-10-27,10h,2861,107,425,13,30,7,-0.363359,-0.479306,0.963949,0.97032,0.006371,up
1145360,2025-12-18,10h,1536,42,1296,50,30,18,0.40625,0.984127,0.973384,0.962853,-0.010531,down
1145360,2026-02-17,10h,1234,53,280,16,30,7,-0.027553,0.293801,0.958819,0.945946,-0.012873,down
1145360,2026-03-19,10h,1168,44,307,10,30,7,0.126468,-0.025974,0.963696,0.968454,0.004758,neutral
391540,2025-12-04,10h,1735,41,2124,46,30,32,0.147695,0.051829,0.976914,0.978802,0.001887,neutral
391540,2026-01-17,10h,2155,43,921,22,30,14,-0.08419,0.096346,0.980437,0.97667,-0.003767,neutral
